Os raios X movem-se a que velocidade física?,À velocidade da luz.
Qual é a frequência aproximada de energia de uma onda de raios X?,$10^{16}$ Hz.
Os raios X são uma forma de energia eletromagnética carregada por partículas denominadas _____.,fotões
"No tubo de raios X, os eletrões são acelerados do _____ (+) para o _____ (-).",cátodo; ânodo
De que material é feito o alvo no ânodo onde os eletrões colidem para produzir raios X?,Tungsténio.
"Na interação dos eletrões com o alvo, que percentagem da energia é convertida em fotões de raios X?",Aproximadamente 1%.
A maior parte da energia (99%) produzida na colisão de eletrões no tubo de raios X é convertida em _____.,calor
Qual é o fator de exposição que controla a quantidade de eletrões que atravessam o tubo?,Miliamperagem (mA).
Qual é o fator de exposição que controla a energia (poder de penetração) do feixe de raios X?,Quilovoltagem (kV).
O aumento da miliamperagem (mA) afeta diretamente que característica da imagem radiográfica?,A densidade.
A quilovoltagem (kV) afeta principalmente que característica visual da imagem?,O contraste.
Termo: Miliamperagem-segundo (mAs),"Definição: É o produto da miliamperagem pelo tempo de exposição, controlando a densidade total da película."
O que acontece à densidade do filme se duplicarmos o mAs?,A densidade no filme também duplica.
Como se denomina uma imagem radiográfica que apresenta pouco detalhe por falta de penetração dos fotões (demasiado branca)?,Subexposta.
Como se denomina uma imagem radiográfica que recebeu demasiada exposição (demasiado escura/preta)?,Sobrexposta.
Qual é a função do colimador no aparelho de raios X?,Configurar e limitar a forma e o tamanho do feixe de radiação.
"Na radiografia digital, como é geralmente ajustado o contraste se o kV tiver pouco efeito?",Através do processamento por software.
Identifique uma vantagem da radiografia digital em relação ao tempo de diagnóstico.,As imagens ficam disponíveis quase instantaneamente após a exposição.
Quais são os três pilares fundamentais da segurança radiológica?,"Blindagem (shielding), distância e tempo."
Por que razão as máquinas portáteis de raios X podem ser particularmente perigosas?,Porque podem ser apontadas em qualquer direção e utilizam tempos de exposição mais longos.
Qual é a função principal de um dosímetro na prática veterinária?,Medir a radiação secundária (dispersa) recebida pelo profissional.
"No que diz respeito ao EPI (equipamento de proteção individual), o que deve ser evitado para prevenir danos no chumbo?",Dobrar as batas e luvas de proteção.
O uso de suportes de cassetes (cassette holders) ajuda a cumprir qual dos três pilares da segurança?,A distância (aumenta a distância entre o utilizador e o feixe primário).
"Por que razão é necessário realizar, no mínimo, duas projeções ortogonais de uma estrutura?","Para permitir uma visualização tridimensional, já que uma única imagem é bidimensional."
Projeção: Ventrodorsal (VD),Significado: O feixe de raios X entra pelo ventre do animal e sai pelo dorso.
Projeção: Dorsoventral (DV),Significado: O feixe de raios X entra pelo dorso do animal e sai pelo ventre.
O que significa o termo 'radiolucente' no contexto de materiais de posicionamento?,"Material que permite a passagem dos raios X, aparecendo 'preto' ou transparente na imagem."
Dê dois exemplos de materiais de posicionamento radiolucentes.,Esponjas de espuma e calhas em V (V-troughs).
Qual é a utilidade dos sacos de areia no posicionamento radiográfico?,Ajudar na contenção e manutenção da posição do animal sem intervenção manual direta.
"Antes de realizar uma radiografia, por que é crucial remover objetos como coleiras ou cabrestos?",Para evitar que estes artefactos interfiram ou ocultem estruturas anatómicas na imagem.
"No posicionamento de equinos para radiografias distais, que equipamento é frequentemente usado para elevar o casco?",Suportes ou blocos para cascos.
O uso de sedação no animal é uma estratégia para reduzir a exposição à radiação porque _____.,evita a necessidade de repetições por movimento e facilita a contenção não manual
Quem demonstrou em 1794 que os morcegos se orientavam por sons inaudíveis?,Spallanzani.
"O efeito _____ , descoberto pelos irmãos Curie em 1880, é a base da produção de ultrassons.",piezoelétrico
Qual foi o evento histórico em 1912 que impulsionou a pesquisa de objetos submersos por som?,O naufrágio do Titanic.
A ultrassonografia é um meio de diagnóstico que se baseia na _____ do som.,reflexão
"Diferente da radiografia, a ultrassonografia não utiliza _____.",radiação ionizante
Qual é a recomendação padrão de jejum para um exame de ultrassonografia abdominal em pequenos animais?,Jejum de 8 horas.
Por que razão o jejum é necessário antes de uma ecografia abdominal?,Para diminuir a presença de alimento e gás no trato gastrointestinal.
"Na preparação para US, que líquido deve ser evitado por poder aumentar a quantidade de gases?",Leite.
Por que razão não se deve permitir que o animal urine 1 a 2 horas antes de uma ecografia abdominal?,Porque a bexiga repleta facilita a sua visualização e a dos órgãos adjacentes.
Quais são os três passos preparatórios físicos essenciais para um exame de ultrassonografia?,"Tricotomia, contenção e aplicação de gel."
"No exame ultrassonográfico, o termo 'ecogenicidade' refere-se a quê?",À capacidade de um tecido refletir as ondas sonoras (brilho na imagem).
Qual é o posicionamento preferencial para a realização de ecocardiografia em pequenos animais?,Decúbito lateral.
"Na radiografia, o termo 'distorsão geométrica' pode ser minimizado através de quê?",Pelo posicionamento correto e centralização do feixe na região de interesse.
"O feixe de raios X é controlado por três fatores principais: kV, mA e _____.",tempo de exposição (s)
Como se define a 'densidade' numa radiografia convencional?,O grau de escurecimento da película radiográfica.
"Se a imagem está muito clara mas as silhuetas ósseas são visíveis, o problema de exposição reside provavelmente no _____.",mAs (quantidade insuficiente de raios X)
"Se a imagem está muito clara e não se distinguem estruturas (falta de penetração), deve-se aumentar o _____.",kV (quilovoltagem)
"Na radiografia digital, o que permite a 'subtração da imagem'?",Permite visualizar isoladamente apenas osso ou apenas tecidos moles.
Identifique um benefício logístico da radiografia digital para o seguimento clínico.,"Facilidade de armazenamento e transporte de ficheiros (disco rígido, servidor, CD)."
Qual é a desvantagem económica inicial da implementação da radiografia digital?,O elevado custo do equipamento e a necessidade de formação específica.
"Na terminologia de posicionamento, o que define o 'ponto de entrada' e o 'ponto de saída'?",O percurso que o feixe de radiação percorre através do corpo do animal.
"No exame ultrassonográfico ocular, qual é a principal vantagem em relação à radiografia?",Permite visualizar estruturas internas do globo ocular em tempo real e de forma dinâmica.
A bexiga cheia atua como uma 'janela acústica' para observar órgãos localizados em que região?,Região hipogástrica e pelve.
O que indica a 'ecotextura' numa imagem de ultrassom?,O padrão de disposição dos ecos dentro de um órgão (ex: homogénea ou heterogénea).
"Em grandes animais, que posição é frequentemente utilizada para ultrassonografia?",Posição quadrupedal (estação).
"No tubo de raios X, o vácuo é necessário para evitar a interação dos eletrões com _____.",moléculas de ar
O aumento do kV resulta num feixe de raios X com comprimentos de onda mais _____.,curtos (e maior energia)
"Na proteção radiológica, a 'lei do inverso do quadrado' explica que duplicar a distância da fonte reduz a exposição para _____.",um quarto ($rac{1}{4}$)