Qual é a definição etimológica da palavra 'Radiologia'?,Estudo das radiações (Radio = radiação + logia = estudo).
Como se define a ciência da Radiologia no contexto veterinário?,Ciência que estuda as radiações e a sua aplicação na área médica e veterinária.
O que caracteriza uma estrutura classificada como 'radiopaca'?,Apresenta um número atómico elevado e alta absorção de raios X.
Que cor apresentam as estruturas radiopacas numa radiografia simples?,Branco (contraste positivo).
O que caracteriza uma estrutura 'radiolucente' (ou radiotransparente)?,Apresenta baixa gravidade específica e permite a passagem dos raios X.
Que cor apresentam as estruturas radiolucentes numa imagem radiográfica?,Preto (contraste negativo).
Qual é a principal limitação da radiografia simples que justifica o uso de meios de contraste?,A dificuldade em identificar órgãos com pouco contraste natural em relação aos tecidos circundantes.
"Nas radiografias laterais, para que lado deve estar orientada a região cranial do animal no ecrã/negatoscópio?",Para a esquerda.
"Nas radiografias laterais, para que lado deve estar orientada a região dorsal do animal?",Para cima.
"Nas radiografias ventrodorsais ($VD$) ou dorsoventrais ($DV$), para onde deve estar orientada a região cranial?",Para cima.
"Numa visualização $VD$ ou $DV$, o lado esquerdo do animal deve ficar posicionado para a nossa _____.",Direita
A radiografia é uma representação _____ de estruturas tridimensionais.,Bidimensional
"Por que razão são necessárias, no mínimo, duas projeções ortogonais (ex: lateral e ventrodorsal)?",Para localizar corretamente estruturas que podem parecer sobrepostas numa única vista bidimensional.
Qual é a utilidade da 'Regra dos $15\%$' na técnica radiográfica?,Manipular fatores técnicos para otimizar a exposição da imagem.
Por que razão se deve priorizar a contenção não manual (acessórios) em radiologia?,Para minimizar a exposição do pessoal à radiação direta e secundária.
Qual é a função de um marcador radiográfico de tamanho conhecido ou régua numa radiografia ortopédica?,Permitir medições precisas compensando erros de magnificação da imagem.
Onde deve ser colocado o marcador de comprimento conhecido em radiografias para planeamento ortopédico?,Ao nível do osso de interesse.
Quem foram os dois investigadores que partilharam o Prémio Nobel de Fisiologia e Medicina em 1979 pelo desenvolvimento da TAC?,Allan Cormack e Godfrey Hounsfield.
Em que ano foram apresentadas as primeiras imagens de diagnóstico de crânio obtidas por TAC?,1971.
Qual é a vantagem teórica da TAC (múltiplos raios X em ângulos diferentes) face à radiografia convencional?,Fornecer uma imagem melhor por incidir sobre o corpo num plano único mas em ângulos variados.
Como se define a 'Densidade' numa imagem radiográfica?,O grau de escurecimento da película ou imagem digital.
O que é o 'Contraste Radiográfico'?,A diferença visível entre duas densidades adjacentes numa radiografia.
Qual é o termo técnico para a projeção em que o feixe entra pelo abdómen e sai pelas costas do animal?,Ventrodorsal ($VD$).
Qual é o termo técnico para a projeção em que o feixe entra pelas costas e sai pelo abdómen do animal?,Dorsoventral ($DV$).
Que tipo de equipamento de raios X é frequentemente utilizado na radiografia de grandes animais no campo?,Unidades de raios X portáteis.
"Em equinos, o que significa a projeção 'DP'?",Dorsopalmar.
Quais são as duas incidências rotineiras para os membros de equinos?,Lateromedial (LM) e Dorsopalmar (DP).
Termo: Contraste Negativo,Substâncias radiolucentes (como o ar) que aparecem pretas na radiografia.
Termo: Contraste Positivo,Substâncias radiopacas que aparecem brancas na radiografia para realçar órgãos.
Qual é o objetivo principal da Radiobiologia e Radioproteção?,Estudar os efeitos biológicos da radiação e implementar medidas de segurança para o pessoal e pacientes.
Que ferramenta é usada para medir a espessura da zona anatómica a radiografar para determinar os fatores de exposição?,Caliper (ou craveira).
O que descreve o termo 'Anatomia Seccional' no contexto de técnicas como TAC e Ressonância?,Visualização do corpo através de fatias ou cortes transversais.
"Complete: O feixe de raios X numa radiografia lateral é tipicamente _____, atravessando o animal de um lado ao outro.",Horizontal ou vertical (dependendo da posição do animal e detetor).
Qual é a importância de consultar o 'Radiography Log Book'?,Manter um registo histórico das exposições e técnicas utilizadas para cada paciente.
Que acessório de posicionamento pode ser usado para imobilizar aves sem contacto manual direto?,Placas de acrílico ou fitas adesivas médicas.
O que significa 'Magnificação' numa imagem de raios X?,O aumento aparente do tamanho de uma estrutura devido à distância entre o objeto e o detetor.
"Em radiografia dentária, que vista é utilizada para visualizar a arcada incisiva inferior canina?",Vista da arcada incisiva inferior.
Qual é a diferença fundamental entre contraste do sujeito e contraste radiográfico?,O contraste do sujeito depende das propriedades físicas do paciente; o radiográfico depende também dos fatores técnicos e processamento.
"Nas aves, quais são as duas vistas padrão para o corpo inteiro?",Vista Lateral e Vista Ventrodorsal ($VD$).
Que técnica diagnóstica utiliza a 'cintigrafia nuclear'?,Medicina Nuclear.
A Tomografia Computadorizada utiliza radiação ionizante?,"Sim, utiliza múltiplos feixes de raios X."
Qual é o principal componente técnico que gera a imagem numa radiografia?,A radiação que consegue atravessar o paciente e atingir o detetor.
"No posicionamento de pequenos animais para abdómen, onde deve ser centrado o feixe de raios X?",Geralmente no aspeto caudal da última costela.
O que deve ser incluído na etiqueta (labeling) de uma imagem radiográfica digital?,"Identificação do paciente, do proprietário, data e nome da clínica."
Como deve ser exibida uma radiografia $VD$ no monitor para interpretação?,Com a cabeça para cima e o lado direito do paciente à esquerda do observador.
O que é o 'Fog' (véu) na imagem radiográfica?,Escurecimento indesejado da imagem causado por radiação dispersa ou problemas de revelação.
Que posição é descrita como 'Lateral Decubitus' com feixe horizontal?,O animal está deitado de lado e o feixe de raios X atravessa-o paralelamente à mesa.
Qual é o propósito principal da radiografia de pré-compra em equinos?,Avaliar a integridade óssea e articular para detetar patologias ocultas antes da venda.
"Em radiologia dentária, a vista 'Labial' foca-se em que superfície do dente?",A superfície virada para os lábios.
O que é a 'Lamina dura' numa radiografia dentária?,A linha radiopaca fina que rodeia o alvéolo dentário.
"Numa radiografia de tórax de um cão, a região cranial no negatoscópio deve estar sempre à nossa _____.",Esquerda
O que garante que uma radiografia é 'diagnóstica' segundo a lista de verificação (checklist)?,"Posicionamento correto, exposição adequada, ausência de artefactos e inclusão de toda a área de interesse."
"Qual é o fator técnico ($kVp$, $mAs$) que controla primariamente a penetração dos raios X?",$kVp$ (Kilovoltagem pico).
"Na técnica radiográfica, o que controla primariamente o número de raios X produzidos?",$mAs$ (miliamperagem por segundo).
Por que razão se utilizam sacos de areia (beanbags) no posicionamento?,Para ajudar a manter o animal imobilizado na posição correta sem intervenção humana manual.
"Em radiografia de exóticos, que vista abdominal é comum para coelhos?",Vista Dorsoventral ($DV$).
Que profissional é responsável por garantir a segurança contra radiações na sala de RX?,O técnico/enfermeiro veterinário que realiza o exame.