"Quem estudou a orientação dos morcegos em 1794, contribuindo para a história do som?",Spellanzi
Em que ano é que Spellanzi realizou os seus estudos sobre a orientação dos morcegos?,1794
Qual foi o foco da investigação de Spellanzi em 1794 que serviu de base à ultrassonografia?,A orientação dos morcegos
Que fenómeno físico foi descoberto por Curie & Curie em 1880?,Efeito piezoelétrico
Em que ano é que os Curie descobriram o efeito piezoelétrico?,1880
"Quem descobriu o efeito piezoelétrico, essencial para a produção de ultrassons?",Curie & Curie
Quem realizou pesquisas sobre objetos submersos em 1912?,Richardson
Qual foi o evento histórico que motivou a pesquisa de Richardson sobre objetos submersos em 1912?,O naufrágio do Titanic
Em que ano Richardson utilizou a pesquisa de objetos submersos após o desastre do Titanic?,1912
Quem desenvolveu o primeiro gerador piezoelétrico de ultrassom em 1917?,Langevine & Chilowski
Em que ano foi criado o primeiro gerador piezoelétrico de ultrassom?,1917
O que foi desenvolvido por Langevine & Chilowski no ano de 1917?,O primeiro gerador piezoelétrico de ultrassom
Quem foi o responsável pela introdução do ultrassom na medicina em 1942?,Dussik
Em que ano é que Dussik aplicou pela primeira vez o ultrassom na área médica?,1942
Qual foi o contributo de Dussik para a história da medicina em 1942?,A introdução do ultrassom na medicina
"No processo de ultrassonografia, o que representa a etapa A?",Fonte produtora de som
"No processo de ultrassonografia, o que representa a etapa B?",Deteção do som
"No processo de ultrassonografia, o que representa a etapa C?",Processamento da imagem
A ultrassonografia é um meio de diagnóstico que se baseia em que princípio físico?,Reflexão do som
O diagnóstico por ultrassonografia fundamenta-se na _____ do som.,reflexão
Qual é a natureza da ultrassonografia em relação à invasividade do procedimento?,Não invasiva
A ultrassonografia é caracterizada como um método _____ invasivo.,não
"Em termos de segurança biológica, como é classificada a ultrassonografia no material de introdução?",Sem efeitos nocivos
A ultrassonografia é um método de diagnóstico _____ efeitos nocivos.,sem
Que tipo de anatomia é visualizada através do exame de ultrassonografia?,Anatomia seccional
A ultrassonografia permite o estudo da anatomia _____.,seccional
As imagens obtidas por ultrassonografia são classificadas como dinâmicas ou estáticas?,Imagens dinâmicas
"A ultrassonografia produz imagens _____, permitindo observar movimentos.",dinâmicas
Qual é a política da ultrassonografia relativamente ao uso de radiação ionizante?,Não utiliza radiação
A ultrassonografia _____ utiliza radiação para a formação de imagem.,não
"No funcionamento do ultrassom, que fase ocorre imediatamente após a deteção do som?",Processamento da imagem
"No funcionamento do ultrassom, que fase precede a deteção do som?",Fonte produtora de som
"Em 1794, _____ estudou a orientação dos morcegos.",Spellanzi
Curie & Curie descobriram o efeito _____ em 1880.,piezoelétrico
O estudo de Richardson em 1912 focou-se na pesquisa de objetos _____.,submersos
Langevine & _____ criaram o primeiro gerador piezoelétrico de ultrassom.,Chilowski
Dussik introduziu o _____ na medicina em 1942.,ultrassom
Como se denomina a capacidade do ultrassom de mostrar estruturas em movimento?,Imagens dinâmicas
Qual a vantagem do ultrassom em comparação com o raio-x quanto ao uso de radiação?,O ultrassom não utiliza radiação
"Identifique os três componentes sequenciais da ultrassonografia (A, B e C).","Fonte produtora de som, deteção do som e processamento da imagem"
O efeito piezoelétrico permite que o transdutor funcione como uma _____ produtora de som.,fonte
Qual a principal característica da ultrassonografia que a torna segura para exames repetidos?,A ausência de efeitos nocivos
O conceito de anatomia seccional no ultrassom refere-se à visualização em _____ do corpo.,cortes
A deteção do som refere-se à captação das ondas que sofrem _____ nos tecidos.,reflexão
Em que século é que Spellanzi iniciou os estudos precursores do ultrassom?,Século XVIII (1794)
Em que século é que o efeito piezoelétrico foi descoberto?,Século XIX (1880)
A ultrassonografia na medicina consolidou-se na década de _____ do século XX.,40 (1942)
A reflexão do som é o princípio que permite a formação da _____ ultrassonográfica.,imagem
Qual é a relação entre Richardson e o Titanic na história do ultrassom?,Richardson pesquisou objetos submersos após o naufrágio do navio
O primeiro gerador piezoelétrico de ultrassom foi desenvolvido por _____ e Chilowski.,Langevine